Stelle,Link,Firmenname,Location
Metallbauer / Tormonteur (m/w/d) 100%,https://www.jobscout24.ch/de/job/metallbauer-tormonteur/9122759/,Burkhalter Biembach Metall- und Stahlbau AG,Biembach im Emmental
Autolackierer / Carrosserielackierer / Aufbereiter (m/w) 100%,https://www.jobscout24.ch/de/job/autolackierer-carrosserielackierer-aufbereiter/8659389/,ROSPAG Rosso Sportivo AG,Urdorf
Storenmonteur (m/w),https://www.jobscout24.ch/de/job/storenmonteur/5541035/,Rollstor AG,Bern
LWL-Spleisser (80-100%),https://www.jobscout24.ch/de/job/lwl-spleisser/9088941/,Fiber Power AG,Trimmis
Schreiner - Monteur 80-100%,https://www.jobscout24.ch/de/job/schreiner-monteur/9105533/,"Bugmann, Müller & Partner AG",Erlinsbach AG
Oberflächenbeschichter / Galvaniker (w/m/d),https://www.jobscout24.ch/de/job/oberfl%C3%A4chenbeschichter-galvaniker/9081990/,Schneider Galvano AG,Wiedlisbach
Fahrer:in / Fahrzeugreiniger:in der Carrosserie,https://www.jobscout24.ch/de/job/fahrer-fahrzeugreiniger-der-carrosserie/9160131/,"Binelli Automobile AG, Carrosserie Adliswil",Adliswil 1
Werkstattdisponent:in,https://www.jobscout24.ch/de/job/werkstattdisponent/9137946/,"Binelli Automobile AG, Filiale Zürich",Zürich
Softwareingenieur Modernisierung (m/w/d),https://www.jobscout24.ch/de/job/softwareingenieur-modernisierung/9087655/,Syntegon Packaging Systems AG,Beringen
Landmaschinenmechaniker /-in oder Automobil-Mechatroniker /-in (Nutzfahrzeuge),https://www.jobscout24.ch/de/job/landmaschinenmechaniker-oder-automobil-mechatroniker/9185610/,Baudirektion Kanton Zürich,Urdorf
Einrichter / Linienleiter Technik Pharma Abfüllung (m/w) 100%,https://www.jobscout24.ch/de/job/einrichter-linienleiter-technik-pharma-abf%C3%BCllung/9185471/,ASM Aerosol-Service AG Agglomeration Basel/Rheinfelden,Möhlin
Group Manager Packaging & Labeling (a),https://www.jobscout24.ch/de/job/group-manager-packaging-labeling/9184341/,Medartis AG,Basel
Automobildiagnostiker Nutzfahrzeuge 100% (m/w),https://www.jobscout24.ch/de/job/automobildiagnostiker-nutzfahrzeuge/9083832/,Mercedes Benz Automobil AG,Bern
Service Techniker/in 80- 100%,https://www.jobscout24.ch/de/job/service-techniker/9184146/,Nencki AG,Langenthal
Mechanical & System Engineer Inno Lab (m/w/d),https://www.jobscout24.ch/de/job/mechanical-system-engineer-inno-lab/9184021/,"Stäubli Electrical Connectors AG, Allschwil",Allschwil
Spezialist Instandhaltung (m/w),https://www.jobscout24.ch/de/job/spezialist-instandhaltung/9183498/,HYDRO Exploitation SA,Ernen
KUNDENGIPSER/-IN 80%-100%,https://www.jobscout24.ch/de/job/kundengipser/9183436/,UB Umbau-Service AG,Bern
Einbaumaschinist*in 100%,https://www.jobscout24.ch/de/job/einbaumaschinist/9111310/,Marti AG Solothurn,Bellach
On the Road / Service-Techniker:in 80 – 100 %,https://www.jobscout24.ch/de/job/the-road-service-techniker-100/9183133/,Osterwalder AG,Lyss
Automobil-Fachmann/-frau EFZ / Reifenmanager/-in,https://www.jobscout24.ch/de/job/automobil-fachmann-frau-efz-reifenmanager/9183095/,Aaretal Garage AG,Münsingen
Servicetechniker mechanisch & elektrisch h*,https://www.jobscout24.ch/de/job/servicetechniker-mechanisch-elektrisch/9183004/,humanik AG,"Kantone AG, ZG, LU, SO, BE, ZH"
Zeichner:in EFZ (Architektur oder Ingenieurbau 60-100%,https://www.jobscout24.ch/de/job/zeichner-efz-architektur-oder-ingenieurbau/9182868/,Garaventa AG,Goldau
Service Monteur 100%,https://www.jobscout24.ch/de/job/service-monteur/9020775/,Veriset AG,Root
CNC - Maschinenbediener (m/w/d),https://www.jobscout24.ch/de/job/cnc-maschinenbediener/9181828/,RWM Schweiz AG,Altdorf UR
Ressortleiter Lager und Transporte (A),https://www.jobscout24.ch/de/job/ressortleiter-lager-und-transporte/9181759/,Zwilag Zwischenlager Würenlingen AG,Würenlingen
Kundenberater im Aussendienst 100% m/w auch als Quereinsteiger Altdorf,https://www.jobscout24.ch/de/job/kundenberater-aussendienst-auch-als-quereinsteiger-altdorf/9181619/,Nahrin AG,Sarnen
Carrosseriespengler / Fahrzeugschlosser,https://www.jobscout24.ch/de/job/carrosseriespengler-fahrzeugschlosser/9181315/,GILGEN MECHANICS AG,Kirchberg BE
Mitarbeiter*in Lackiererei (50-100%),https://www.jobscout24.ch/de/job/mitarbeiter-lackiererei/9181102/,RCM ESTECH AG,Burgdorf
Maler (m/w/d),https://www.jobscout24.ch/de/job/maler/9181014/,Barock Job AG,Raum Solothurn
PRODUKTIONS- UND PROZESSINGENIEUR:IN 80-100% m/w/d,https://www.jobscout24.ch/de/job/produktions-und-prozessingenieur/9180552/,DT Swiss AG,Biel/Bienne
PROJEKTLEITER METALL- UND TORBAU 80 - 100 % M/W/D,https://www.jobscout24.ch/de/job/projektleiter-metall-und-torbau-100/9099803/,JOMOS Brandschutz AG,Balsthal
Konstrukteur / Konstrukteurin (Maschinen- oder Lüftungszeichner),https://www.jobscout24.ch/de/job/konstrukteur-konstrukteurin/9180435/,Friotherm AG,Frauenfeld
Werkstattleiter Mechatronik,https://www.jobscout24.ch/de/job/werkstattleiter-mechatronik/9180433/,InterBUS AG,Kerzers
Werkstatt-Mitarbeiter (m/w) Innenausbau von Fahrzeugen (100%),https://www.jobscout24.ch/de/job/werkstatt-mitarbeiter-innenausbau-von-fahrzeugen/9180144/,Waldspurger AG,Bergdietikon
Wir suchen für die Saison 2025 Mechaniker (m/w/d) 80-100%,https://www.jobscout24.ch/de/job/wir-suchen-f%C3%BCr-die-saison-2025-mechaniker/9180097/,Golf Lipperswil AG,Hefenhausen
Automechaniker / Automobilmechatroniker 100% - HIndelbank (BE),https://www.jobscout24.ch/de/job/automechaniker-automobilmechatroniker-hindelbank/9178883/,Bantam Camping AG,Bern/Mittelland
Servicetechniker/in 80/100% (m/w/d),https://www.jobscout24.ch/de/job/servicetechniker/9178881/,ASSA ABLOY Entrance Systems Switzerland AG,Westschweiz
Produktmanager (m/w/d) Stationenbau 80-100%,https://www.jobscout24.ch/de/job/produktmanager-stationenbau/9178566/,BBC Cellpack Power Systems,Villmergen
Spengler EFZ (m/w),https://www.jobscout24.ch/de/job/spengler-efz/9178406/,Morath AG Spengler+Flachdach,Allschwil
Verantwortliche/r Technik (m/w) (80-100%),https://www.jobscout24.ch/de/job/verantwortliche-technik/9178190/,OST - Ostschweizer Fachhochschule,Buchs SG
Leiter:in Service HLKKS,https://www.jobscout24.ch/de/job/leiter-service-hlkks/9178062/,Equans Switzerland AG,St. Gallen
Technischer Fahrzeugaufbereiter (m/w/d) 100%,https://www.jobscout24.ch/de/job/technischer-fahrzeugaufbereiter/9177881/,Walter Hasler AG,Frick
Leiter*in Technik 100% (Mitglied der Geschäftsleitung),https://www.jobscout24.ch/de/job/leiter-technik/9177830/,3A Composites Mobility AG,Altenrhein
Operator (KzPMA / EI-Anlage) (w/m/d) 80 - 100%,https://www.jobscout24.ch/de/job/operator/9177829/,Nitrochemie Wimmis AG,Wimmis
Aufzugs-Monteur Modernisierung & Ersatzanlagen (m/w/d) Region Ostschweiz,https://www.jobscout24.ch/de/job/aufzugs-monteur-modernisierung-ersatzanlagen-region-ostschweiz/9177808/,TK Aufzüge AG,Ostschweiz
Baumaschinenmechaniker (m/w/d) 60 -100%,https://www.jobscout24.ch/de/job/baumaschinenmechaniker/9177744/,Marti AG Bern,Moosseedorf
(Se­ni­or-) Pro­jekt­lei­ter:in Lüf­tung / Klima,https://www.jobscout24.ch/de/job/pro-jekt-lei-ter-l%C3%BCf-tung-klima/9177622/,eicher+pauli AG,Deutschschweiz
Hydraulikfachmann Montage (100%),https://www.jobscout24.ch/de/job/hydraulikfachmann-montage/9176641/,Hydac Engineering AG,Steinhausen
Ultraschallprüfer:in,https://www.jobscout24.ch/de/job/ultraschallpr%C3%BCfer/9176211/,SBB CFF FFS,Luzern
Industrielackierer/in Oberflächentechnik Wechselschicht,https://www.jobscout24.ch/de/job/industrielackierer-oberfl%C3%A4chentechnik-wechselschicht/9176150/,Baumann Federn AG,Ermenswil
Servicetechniker*in mit weltweiten Einsätzen,https://www.jobscout24.ch/de/job/servicetechniker-mit-weltweiten-eins%C3%A4tzen/9175894/,PackSys Global AG,Rüti ZH
Greenkeeping / Golfplatzpflege,https://www.jobscout24.ch/de/job/greenkeeping-golfplatzpflege/9175381/,Golf Club Schinznach Bad,Schinznach Bad
Projektleiter Elektroinstallation (w/m/d) 80-100%,https://www.jobscout24.ch/de/job/projektleiter-elektroinstallation/9175123/,ETAVIS AG,Winterthur
Monteur-Photovoltaik (w/m/d) 80-100%,https://www.jobscout24.ch/de/job/monteur-photovoltaik/9175101/,ETAVIS Kriegel+Schaffner AG,Basel
"Metallbaumonteur mit EFZ 80-100% (m/w), nach Vereinbarung",https://www.jobscout24.ch/de/job/metallbaumonteur-mit-efz-nach-vereinbarung/9175060/,Movitec AG,Wädenswil
Stv. Teamleiter Mechatronik (w/m/d),https://www.jobscout24.ch/de/job/stv-teamleiter-mechatronik/9175055/,dormakaba Schweiz AG,Wetzikon ZH
Glasfasertechniker/in,https://www.jobscout24.ch/de/job/glasfasertechniker/9174931/,Energie Service Biel/Bienne,Biel/Bienne
Elektroinstallateur*in / Montageelektriker*in EFZ (m/w/d) 80-100%,https://www.jobscout24.ch/de/job/elektroinstallateur-montageelektriker-efz/9174872/,IB Langenthal AG,Langenthal
Eismeister 40% / Badmeister 40-100% (m/w),https://www.jobscout24.ch/de/job/eismeister-badmeister/9174702/,Regionales Eiszentrum Luzern AG,Luzern
"Automobil Mechatroniker, Fachmann, Assistenst, Landmaschinenmechaniker",https://www.jobscout24.ch/de/job/automobil-mechatroniker-fachmann-assistenst-landmaschinenmechaniker/9174475/,Brummer Reparatur AG,Deutschschweiz
Fachmann:frau/Quereinsteiger:in Rohrleitungsnetze Gas/Wasser 80-100 %,https://www.jobscout24.ch/de/job/fachmann-frau-quereinsteiger-rohrleitungsnetze-gas-wasser-100/9174466/,ewl energie wasser luzern,Luzern
Projektkalkulator Metallbau 80-100% (m/w/d),https://www.jobscout24.ch/de/job/projektkalkulator-metallbau/9173380/,Blaser Metallbau AG,Andelfingen
Servicetechniker / Allrounder 80 – 100 %,https://www.jobscout24.ch/de/job/servicetechniker-allrounder-100/9173278/,Impana AG,Region Luzern
Reha-Technikerin / Reha-Techniker,https://www.jobscout24.ch/de/job/reha-technikerin-reha-techniker/9172946/,Rehaklinik Bellikon,Bellikon
Sales Engineer (m/w/d),https://www.jobscout24.ch/de/job/sales-engineer/9172742/,Güdel AG,Langenthal
Systemtechniker Gebäudeautomation (a),https://www.jobscout24.ch/de/job/systemtechniker-geb%C3%A4udeautomation/9172534/,Burkhalter Technics AG,Zürich
Werkstattmanager (w/m),https://www.jobscout24.ch/de/job/werkstattmanager/9171825/,Robert Aebi Landtechnik AG,Susten
Servicetechniker Region Mitte 60-100% (m/w),https://www.jobscout24.ch/de/job/servicetechniker-region-mitte/9171821/,Robert Aebi AG,Region Mitte
Datacenter Operator 24/7 (a),https://www.jobscout24.ch/de/job/datacenter-operator/9171806/,Green,Birr-Lupfig
Eisenbahnmechatroniker:in,https://www.jobscout24.ch/de/job/eisenbahnmechatroniker/9106089/,BLS AG,Oberburg
Automobil-Diagnostiker/-in & Stv. Werkstattleiter/-in 80-100%,https://www.jobscout24.ch/de/job/automobil-diagnostiker-stv-werkstattleiter/9171702/,Garage Galliker Mittelland AG,Schönbühl-Urtenen
Baumaschinenmechaniker*in 60 - 100 %,https://www.jobscout24.ch/de/job/baumaschinenmechaniker-100/9161990/,Marti Zentralschweiz,Kriens
SchreinerIn,https://www.jobscout24.ch/de/job/schreiner/9141366/,OTTO'S AG,Sursee
Servicetechniker*in (m/w/d) Region Basel 80-100%,https://www.jobscout24.ch/de/job/servicetechniker-region-basel/9144018/,AS Aufzüge AG,Basel
Servicetechniker*in Region Appenzell (m/w/d) 80-100%,https://www.jobscout24.ch/de/job/servicetechniker-region-appenzell/9164332/,Schindler Aufzüge AG,Region Appenzell
Mechaniker:in für Occasion-Baumaschinen,https://www.jobscout24.ch/de/job/mechaniker-f%C3%BCr-occasion-baumaschinen/9100286/,Avesco,Langenthal
Netzmonteur/in (m/w/d),https://www.jobscout24.ch/de/job/netzmonteur/9071528/,EBL (Genossenschaft Elektra Baselland),Liestal
Instandhaltungsmitarbeiter m/w,https://www.jobscout24.ch/de/job/instandhaltungsmitarbeiter/9147175/,Rauscher & Stoecklin AG,Sissach
Bauleitender Monteur (w/m/d) 80 - 100%,https://www.jobscout24.ch/de/job/bauleitender-monteur/8850113/,ETAVIS Bern-Mittelland AG,Hinterkappelen
LWL-Techniker*in 80-100% (a),https://www.jobscout24.ch/de/job/lwl-techniker/8661054/,Axians Schweiz AG,Schlieren
Elektroinstallateur (w/m/d) 80-100%,https://www.jobscout24.ch/de/job/elektroinstallateur/9126136/,ETAVIS Grossenbacher AG,Uzwil
Servicemonteur (w/m/d) 80-100% am Standort Muttenz oder Liestal,https://www.jobscout24.ch/de/job/servicemonteur-standort-muttenz-oder-liestal/9048779/,ETAVIS Kriegel+Co. AG,Muttenz
SERVICEMONTEUR/-IN (100%),https://www.jobscout24.ch/de/job/servicemonteur/9169166/,NILOS Schweiz AG,Otelfingen
Elektro-Projektleiter/in 100% m/w/d,https://www.jobscout24.ch/de/job/elektro-projektleiter/9169159/,Marcel Hufschmid AG,Zug
Elektroingenieur 80-100% (m/w/d) - Befristet für 1 Jahr mit Option auf Verlängerung,https://www.jobscout24.ch/de/job/elektroingenieur-befristet-f%C3%BCr-jahr-mit-option-auf-verl%C3%A4ngerung/9169121/,Comet AG,"Bern, Flamatt, Freiburg"
Maurer/in,https://www.jobscout24.ch/de/job/maurer/9163647/,Kanton Basel-Stadt Bau- und Verkehrsdepartement,Basel
